English_Name,Chinese_Name,Gender,Alignment,Power_Type,Detailed_Power,MCU_Presence,Movie_Count,Primary_Team,Mentor_CN,Risk_Level,Social_Style,hero,degree_score,betweenness_score,faction_id,Cross_Index,Loyalty_Score
INVISIBLE WOMAN/SUE,隐形女侠/苏珊·斯托姆,女,正派,变异,能够使自身或他人隐形，并生成隐形力场进行防御和攻击，控制力场形状和强度。,否,4,神奇四侠,里德·理查兹,3,团队核心,INVISIBLE WOMAN/SUE,0.1924875311720698,0.0157522203360193,5,0.9185099639761416,0.19190283400809716
HAWK,鹰眼,男,正派,格斗,世界顶级弓箭手，精通各种武器和格斗技巧，无超能力但拥有卓越的战术头脑和精准射击能力。,是,6,复仇者联盟,尼克·弗瑞,3,团队核心,HAWK,0.1828241895261845,0.0260333138407253,0,0.9164506283296818,0.18073316283034954
WASP/JANET VAN DYNE,黄蜂女/珍妮特·范·戴因,女,正派,科技,通过皮姆粒子缩小身体至亚原子级别，获得飞行能力，并能发射生物电能量冲击波。,是,2,复仇者联盟,汉克·皮姆,3,团队核心,WASP/JANET VAN DYNE,0.1698877805486284,0.0107184405816639,0,0.9026731030067143,0.2
ANT-MAN/DR. HENRY J.,蚁人/亨利·乔纳森·皮姆博士,男,正派,科技,通过皮姆粒子缩小或放大自身及物体，与蚂蚁等昆虫沟通，控制蚁群，在亚原子领域穿梭。,是,3,复仇者联盟,无,4,孤傲,ANT-MAN/DR. HENRY J.,0.1684850374064838,0.0117657994047785,0,0.9094048720320691,0.1822386679000925
CYCLOPS/SCOTT SUMMER,镭射眼/斯科特·萨默斯,男,正派,变异,双眼能发射红色冲击光束，需佩戴特殊眼镜或面罩控制。,否,0,X战警,X教授,4,团队核心,CYCLOPS/SCOTT SUMMER,0.167861596009975,0.0137480187452014,4,0.8984546775602061,0.20798514391829154
SHE-HULK/JENNIFER WA,女浩克/詹妮弗·沃尔特斯,女,正派,变异,通过输血获得类似浩克的超强力量、耐力、再生能力，但能保持理智和律师身份，可控制变身。,是,1,复仇者联盟,布鲁斯·班纳（浩克）,4,团队合作者,SHE-HULK/JENNIFER WA,0.1667705735660848,0.0183750336995142,14,0.8971070875916876,0.205607476635514
STORM/ORORO MUNROE S,暴风女/奥萝洛·门罗,女,正派,变异,能操控天气，包括召唤雷电、风暴、降雨、降雪等，并可飞行。,否,约6部,X战警,X教授,7,团队核心,STORM/ORORO MUNROE S,0.1666147132169576,0.0121679786075991,4,0.8996629563840335,0.20673526660430308
ANGEL/WARREN KENNETH,天使/沃伦·肯尼思·沃辛顿三世,男,正派,变异,拥有巨大的白色翅膀，可飞行，具备超人类力量、速度和耐力，能发射锋利的羽毛作为武器。,否,0,X战警,X教授,4,孤傲,ANGEL/WARREN KENNETH,0.1666147132169576,0.0143160867166565,4,0.8996612045980877,0.20673526660430308
DR. STRANGE/STEPHEN,奇异博士/史蒂芬·斯特兰奇,男,正派,魔法,精通多元宇宙魔法，能操控时间、空间和维度，使用法器如悬浮斗篷和阿戈摩托之眼进行战斗和防御。,是,4,复仇者联盟,古一,8,孤傲,DR. STRANGE/STEPHEN,0.1656795511221945,0.0297785559284638,14,0.9091456684613245,0.1984948259642521
HULK/DR. ROBERT BRUC,绿巨人/布鲁斯·班纳博士,男,正派,变异,伽马射线辐射导致的变异，拥有超强力量、耐力、再生能力和愤怒时体型与力量激增，并能以浩克形态保持理智。,是,8,复仇者联盟,托尼·斯塔克,7,双重人格/团队核心,HULK/DR. ROBERT BRUC,0.1642768079800498,0.0241106488417148,7,0.9042259307913957,0.20683111954459202
PROFESSOR X/CHARLES,X教授/查尔斯·泽维尔,男,正派,变异,拥有强大的心灵感应能力，可读取思想、控制他人心智、进行精神攻击与防御，并能通过脑波强化机与全球变种人建立联系。,是,约10部,X战警,无明确核心导师，但受其父亲影响并自我成长为变种人领袖,3,团队核心,PROFESSOR X/CHARLES,0.1606920199501247,0.0142890036102435,4,0.8982946145226145,0.20659553831231814
WONDER MAN/SIMON WIL,神力人/西蒙·威廉姆斯,男,正派,变异,拥有超人的力量、速度、耐力、飞行能力，以及能量投射和离子形态转换能力。,否,0,复仇者联盟,汉克·皮姆,4,团队核心,WONDER MAN/SIMON WIL,0.1605361596009975,0.0104039632133151,14,0.8951097776142357,0.21553398058252426
COLOSSUS II/PETER RA,钢力士/彼得·拉斯普廷,男,正派,变异,全身可转变为有机钢形态，拥有超强力量、防御力、耐力及自愈能力，免疫毒素和疾病。,否,0,X战警,X教授,3,团队核心,COLOSSUS II/PETER RA,0.15928927680798,0.0079209914800249,4,0.8907387140116267,0.2172211350293542
MARVEL GIRL/JEAN GRE,惊奇女孩/琴·葛蕾,女,正派,变异,拥有强大的心灵感应和念动力，能读取思想、控制物体、飞行，体内蕴含凤凰之力，可释放毁灭性能量。,否,0,X战警,X教授,9,团队核心,MARVEL GIRL/JEAN GRE,0.1561720698254364,0.0129751033936525,4,0.9062095589041697,0.18762475049900199
HERCULES [GREEK GOD],赫拉克勒斯,男,正派,神力,奥林匹斯神族赋予的超级力量、耐力、不朽寿命和战斗技巧，能举起超过100吨重物。,否,0,复仇者联盟,宙斯,8,豪迈直率,HERCULES [GREEK GOD],0.1539900249376558,0.0097645036490522,14,0.8874272424104451,0.21963562753036436
"JARVIS, EDWIN",埃德温·贾维斯,男,正派,格斗,无超能力，但具备出色的管家技能、格斗技巧、忠诚品质和危机处理能力，是霍华德·斯塔克的得力助手。,是,2,斯塔克家族/神盾局,霍华德·斯塔克,1,忠诚管家,"JARVIS, EDWIN",0.1535224438902743,0.0104713620252413,0,0.9052515372869465,0.20406091370558377
SUB-MARINER/NAMOR MA,纳摩/纳摩·麦肯齐,男,中立,变异,亚特兰蒂斯混血，水下呼吸、超强力量、飞行、长寿，能控制海洋生物。,是,1,亚特兰蒂斯王国,无明确核心导师,7,孤傲/王者风范,SUB-MARINER/NAMOR MA,0.152431421446384,0.015433569187791,5,0.8982786885245901,0.02661207778915046
DAREDEVIL/MATT MURDO,夜魔侠/马修·默多克,男,正派,变异,因放射性物质导致双目失明，但其他感官超常增强，拥有雷达般的感知能力和卓越的格斗技巧。,是,0,捍卫者联盟,棍叟,4,双重身份,DAREDEVIL/MATT MURDO,0.1505610972568578,0.0234815835347792,18,0.9032536285521192,0.20496894409937888
ICEMAN/ROBERT BOBBY,冰人/罗伯特·路易斯·德雷克,男,正派,变异,欧米伽级变种人，能操控冰与冷，将身体转化为冰形态，制造冰结构，控制温度。,否,0,X战警,X教授,7,团队核心,ICEMAN/ROBERT BOBBY,0.1469763092269326,0.007927644457485,4,0.8835536402996265,0.22693531283138918
"FURY, COL. NICHOLAS",尼克·弗瑞,男,正派,科技,无超能力，依靠顶尖格斗技巧、战略头脑、高科技装备（如隐形战机、能量武器）及神盾局资源指挥全球行动。,是,约10部,神盾局,无明确核心导师,8,团队核心/孤傲/双重间谍,"FURY, COL. NICHOLAS",0.1435473815461346,0.0230104042487296,0,0.9061582400981919,0.20846905537459284
BLACK WIDOW/NATASHA,黑寡妇/娜塔莎·罗曼诺夫,女,正派,格斗,经过红房训练的世界顶级特工，精通多种格斗术、武器使用和间谍技巧，无超能力但身体素质远超常人。,是,8,复仇者联盟,克林特·巴顿（鹰眼）,7,双重间谍,BLACK WIDOW/NATASHA,0.1432356608478803,0.0116464799141667,14,0.8884289781684648,0.21871599564744287
"JAMESON, J. JONAH",J·乔纳·詹姆森,男,中立,格斗,无超能力，作为《号角日报》主编，拥有强大的媒体影响力、商业头脑和格斗技巧。,是,约5部,号角日报,无,2,固执/偏执/媒体操控者,"JAMESON, J. JONAH",0.1432356608478803,0.0271315332718508,18,0.9164195239212841,0.01958650707290533
QUICKSILVER/PIETRO M,快银/皮特罗·马克西莫夫,男,正派,变异,拥有超音速移动能力，反应速度极快，可制造冲击波和在水面奔跑。,是,2,复仇者联盟,万磁王,4,急躁冲动,QUICKSILVER/PIETRO M,0.1362219451371571,0.0066125577444115,14,0.8751379419713186,0.2391304347826087
NIGHTCRAWLER/KURT WA,夜行者/科特·瓦格纳,男,正派,变异,拥有瞬间传送能力，可在视线范围内或记忆地点间传送，伴有烟雾和硫磺味；具备超强敏捷性、攀爬能力和夜视能力，尾巴可用于抓握和战斗。,否,2,X战警,X教授,3,虔诚友善,NIGHTCRAWLER/KURT WA,0.1334164588528678,0.0085960555346099,4,0.8821774061321528,0.22897196261682243
"WATSON-PARKER, MARY",玛丽·简·沃森-帕克,女,正派,格斗,无超能力，但具备出色的格斗技巧、勇气和领导力，是蜘蛛侠的重要支持者。,否,0,蜘蛛侠相关团队,无,2,团队核心,"WATSON-PARKER, MARY",0.1243765586034912,0.028703847542277,18,0.9241925390640968,0.15037593984962405
HAVOK/ALEX SUMMERS,浩劫/亚历克斯·萨默斯,男,正派,变异,吸收宇宙能量并转化为强大的等离子爆炸，可从全身释放，需佩戴特殊制服控制能量。,否,0,X战警,查尔斯·泽维尔,6,责任感强/团队合作者,HAVOK/ALEX SUMMERS,0.1212593516209476,0.0318033821663809,4,0.872001270458854,0.23393316195372751
BLACK KNIGHT V/DANE,黑骑士五世/戴恩·惠特曼,男,正派,魔法/格斗,使用诅咒之剑乌木刃，拥有飞行、能量投射等魔法能力，精通中世纪格斗技巧。,是,1,复仇者联盟,黑骑士三世（珀西爵士）,4,孤傲/责任感强,BLACK KNIGHT V/DANE,0.1151807980049875,0.0039415602830326,14,0.8384545144504219,0.28416779431664413
QUASAR III/WENDELL V,类星体三世/温德尔·沃恩,男,正派,宇宙能量,通过量子手环操控量子能量，可飞行、发射能量束、创造能量场、进行星际旅行和能量吸收。,否,0,复仇者联盟,玛-维尔,4,团队核心,QUASAR III/WENDELL V,0.1137780548628428,0.005957167738224,14,0.843674013942913,0.2671232876712329
SHADOWCAT/KATHERINE,幻影猫/凯瑟琳·安妮·普莱德,女,正派,变异,身体可相位化，穿透固体物质，并携带他人或物体一同穿越。,否,0,X战警,X教授,3,团队核心,SHADOWCAT/KATHERINE,0.1117518703241895,0.0043516047605339,4,0.8540980030075657,0.2496513249651325
BLACK PANTHER/T'CHAL,黑豹/特查拉,男,正派,科技/神力,服用心形草后获得超人类体能、感官和敏捷性，并穿戴振金战衣提供防御和能量吸收释放能力。,是,5,复仇者联盟,特查卡,3,团队核心,BLACK PANTHER/T'CHAL,0.1106608478802992,0.0084962802024988,18,0.8548242913049524,0.2647887323943662
CRYSTAL [INHUMAN],水晶,女,正派,变异,能操控土、火、水、风四大元素，通过泰瑞根迷雾觉醒的异人族能力。,否,0,异人族皇室/神奇四侠,黑蝠王,4,团队核心,CRYSTAL [INHUMAN],0.1091022443890274,0.0052078889692092,14,0.8501900674432863,0.24285714285714285
PSYLOCKE/ELISABETH B,灵蝶/伊丽莎白·布拉多克,女,正派,变异,拥有心灵感应、心灵操控能力，能生成精神能量武器，具备超强格斗技巧。,否,0,X战警,X教授,6,孤傲,PSYLOCKE/ELISABETH B,0.1076995012468828,0.0041046769720073,4,0.8515908471234716,0.2272069464544139
NOVA/RICHARD RIDER,新星/理查德·赖德,男,正派,宇宙能量,通过新星头盔获得宇宙能量，拥有飞行、超强力量、能量发射、超光速飞行和能量吸收等能力。,否,0,新星军团,罗曼·戴,6,团队核心,NOVA/RICHARD RIDER,0.1056733167082294,0.0074190132821263,6,0.8539147636414339,0.23893805309734514
SILVER SURFER/NORRIN,银影侠/诺林·拉德,非人类,中立,宇宙能量,通过宇宙能量操控冲浪板飞行，吸收并释放宇宙能量，拥有超强力量和再生能力，能穿越太空。,否,0,无固定阵营,行星吞噬者,8,孤傲,SILVER SURFER/NORRIN,0.103647132169576,0.0191664949795563,14,0.8504031162242957,0.031578947368421054
DR. DOOM/VICTOR VON,毁灭博士/维克多·冯·杜姆,男,反派,科技/魔法,精通科技与魔法，拥有高科技装甲、能量发射、力场护盾、时间旅行等能力，是拉托维尼亚的独裁者。,否,0,无固定阵营（常作为反派或独立势力）,无明确核心导师,10,孤傲/独裁者,DR. DOOM/VICTOR VON,0.1008416458852867,0.0106124073365082,14,0.8395547920624363,0.16537867078825347
"ROBERTSON, JOE",乔·罗伯逊,男,正派,格斗,无超能力，作为《号角日报》主编，凭借新闻调查、领导力和坚定道德立场影响事件。,否,0,号角日报,无,1,正直坚定,"ROBERTSON, JOE",0.0999064837905236,0.012076849007804,18,0.8919413026521061,0.1996879875195008
CANNONBALL II/SAM GU,加农炮二世/山姆·顾,男,正派,变异,变种人能力，能够以超音速飞行并产生保护性力场，冲击力巨大。,否,0,X战警,X教授,4,团队核心,CANNONBALL II/SAM GU,0.0997506234413965,0.0071791678403273,4,0.8638595461658842,0.228125
"RICHARDS, FRANKLIN B",富兰克林·本杰明·理查兹,男,正派,宇宙能量,拥有近乎无限的现实扭曲能力，可创造口袋宇宙、操控时空、重塑物质与能量，是漫威宇宙中最强大的变种人之一。,否,0,神奇四侠,里德·理查兹,10,天真但强大,"RICHARDS, FRANKLIN B",0.0988154613466334,0.0038972142772753,5,0.8364804321716726,0.2854889589905363
FIRESTAR/ANGELICA JO,火星/安吉莉卡·乔,女,正派,变异,能够生成并控制微波辐射，产生高热、火焰和能量冲击，可飞行并免疫自身热量。,否,0,X战警,X教授,4,团队合作者,FIRESTAR/ANGELICA JO,0.0953865336658354,0.0061445181451931,6,0.8460575719649562,0.26143790849673204
GAMBIT/REMY LEBEAU,牌皇/雷米·勒博,男,正派,变异,能将动能注入物体使其爆炸，擅长使用扑克牌和长棍作为武器，拥有超强敏捷和格斗技巧。,否,0,X战警,暂无明确核心导师,5,魅力四射/亦正亦邪,GAMBIT/REMY LEBEAU,0.0949189526184538,0.0068216368942532,4,0.8470961887477314,0.2348111658456486
"CAGE, LUKE/CARL LUCA",卢克·凯奇/卡尔·卢卡斯,男,正派,变异,皮肤和骨骼经过化学实验强化，拥有刀枪不入的防御力、超人的力量和耐力，能承受爆炸和重击。,是,0,捍卫者联盟,无,4,团队核心,"CAGE, LUKE/CARL LUCA",0.0944513715710723,0.0099174442625668,2,0.8353980852630718,0.29207920792079206
NAMORITA/NITA PRENTI,纳摩丽塔/妮塔·普伦蒂,女,正派,变异,亚特兰蒂斯混血，拥有水下呼吸、超强力量、速度、耐力，以及飞行能力。,否,0,新勇士,纳摩,4,团队核心,NAMORITA/NITA PRENTI,0.0925810473815461,0.0062838308737424,6,0.8386109549684592,0.2676767676767677
USAGENT/CAPTAIN JOHN,美国特工/约翰·沃克,男,正派/反派（角色有转变）,科技/格斗,通过超级士兵血清获得增强的力量、速度、耐力和反应能力，精通格斗技巧和武器使用。,是,1（主要在剧集《猎鹰与冬兵》中）,美国政府/雷霆特工队,史蒂夫·罗杰斯（美国队长）,6,双重间谍/荣誉驱动,USAGENT/CAPTAIN JOHN,0.0910224438902743,0.0056666921258107,14,0.8438579383914095,0.0
"SUMMERS, NATHAN CHRI",镭射眼/斯科特·萨默斯,男,正派,变异,双眼可发射高能红色冲击光束，需佩戴特殊眼镜或面罩控制。,否,0,X战警,X教授,4,团队核心,"SUMMERS, NATHAN CHRI",0.0910224438902743,0.0090158067889635,4,0.8644587513804366,0.25
SERSI/SYLVIA,西尔维,女,反派,魔法,精通黑暗魔法，能操控能量、制造幻象、进行精神攻击，拥有强大的魔法战斗能力。,否,0,无固定阵营,无,7,孤傲,SERSI/SYLVIA,0.0903990024937655,0.0028848875301764,14,0.8163301768804717,0.13448275862068965
MOONDRAGON/HEATHER D,月龙/希瑟·道格拉斯,女,正派,宇宙能量,拥有强大的心灵感应、心灵控制、能量投射、飞行及精神攻击能力，能操控宇宙能量进行战斗。,否,0,银河护卫队,灭霸,7,孤傲,MOONDRAGON/HEATHER D,0.0889962593516209,0.0027944683072744,14,0.8010630780102621,0.29947460595446584
POLARIS/LORNA DANE,北极星/洛娜·戴恩,女,正派,变异,拥有操控磁场的变种人能力，可控制金属、飞行、生成电磁脉冲，是万磁王的女儿。,否,0,X战警,万磁王,6,孤傲,POLARIS/LORNA DANE,0.0875935162094763,0.0026038936630206,4,0.8201102505058964,0.25444839857651247
IRON FIST/DANIEL RAN,铁拳/丹尼尔·兰德,男,正派,格斗,通过昆仑训练获得铁拳之力，能将气集中在拳头上释放出超自然能量，精通武术和格斗技巧。,否,0,捍卫者联盟,雷公,4,孤傲,IRON FIST/DANIEL RAN,0.0855673316708229,0.0093298491246738,2,0.833652427107016,0.28415300546448086
FALCON/SAM WILSON,猎鹰/山姆·威尔逊,男,正派,科技,通过高科技飞行翼套装进行高速飞行，配备微型导弹、机枪等武器，并可与鸟类心灵感应沟通。,是,7,复仇者联盟,美国队长,3,团队核心,FALCON/SAM WILSON,0.0841645885286783,0.0025072407054015,0,0.8110698824984539,0.29259259259259257
"COOPER, DR. VALERIE",瓦莱丽·库珀博士,女,正派,科技,无超能力，但作为政府官员和科学家，擅长超人类事务管理与科技研发，拥有高级情报分析能力。,否,0,美国政府超人类事务部门,无,2,理性务实,"COOPER, DR. VALERIE",0.0838528678304239,0.0034120261116536,4,0.8250434397347234,0.27137546468401486
"JONES, RICHARD MILHO",理查德·米尔豪·琼斯,男,反派,变异,拥有超强再生能力，可快速愈合伤口，身体组织能抵抗极端伤害，但无法完全免疫致命攻击。,否,0,无固定阵营,无,4,孤傲,"JONES, RICHARD MILHO",0.0838528678304239,0.0062116768632353,7,0.8332814133316719,0.15427509293680297
BINARY/CAROL DANVERS,二进制/卡罗尔·丹弗斯,女,正派,宇宙能量,吸收并操控白洞能量，拥有超光速飞行、能量投射、宇宙感知等能力，可进入二进制状态大幅增强力量。,是,4,复仇者联盟,玛·威尔,9,团队核心,BINARY/CAROL DANVERS,0.0835411471321695,0.0038176478265146,0,0.8259310922025387,0.27798507462686567
WOLFSBANE/RAHNE SINC,狼毒/拉赫妮·辛克,女,正派,变异,变种人，能变身为狼或半狼形态，拥有超强力量、速度、敏捷和感官，以及快速自愈能力。,否,0,X战警,X教授,3,忠诚可靠,WOLFSBANE/RAHNE SINC,0.0835411471321695,0.0028318049563688,4,0.8031175896219835,0.2835820895522388
THUNDERSTRIKE/ERIC K,雷霆打击/埃里克·K,男,正派,神力,通过雷神之锤获得超人的力量、耐力、飞行能力，并能操控雷电和风暴。,否,0,复仇者联盟,索尔（雷神）,3,团队核心,THUNDERSTRIKE/ERIC K,0.083073566084788,0.0035200010718612,5,0.8097941852755717,0.275797373358349
CAPTAIN MARVEL II/MO,惊奇队长II/莫妮卡·兰博,女,正派,宇宙能量,吸收并操控各种形式的电磁能量，可转化为光能、热能、动能，实现飞行、能量投射、隐形、相位穿越等能力。,是,2,复仇者联盟,卡罗尔·丹弗斯,4,团队核心,CAPTAIN MARVEL II/MO,0.0826059850374064,0.0019081651153593,14,0.7985233798195241,0.30943396226415093
MAGNETO/MAGNUS/ERIC,万磁王/马克斯·艾森哈特/埃里克·兰谢尔,男,反派/中立,变异,能够操控磁场和金属，包括飞行、制造力场、控制铁元素等，是欧米茄级变种人。,否,约10部（主要在X战警系列电影中）,X战警（曾短暂加入）/变种人兄弟会,无明确核心导师，但查尔斯·泽维尔（X教授）是其重要对手和思想影响者。,9,孤傲/激进领袖,MAGNETO/MAGNUS/ERIC,0.0818266832917705,0.0025630919349372,4,0.8025081788440567,0.0
UATU,观察者乌阿图,非人类,中立,宇宙能量,拥有全知视角，能观察多元宇宙事件，但受誓言约束不得干预，具备超强防御和能量投射能力。,是,1,观察者,无,2,孤傲,UATU,0.0818266832917705,0.0025145728671074,14,0.785845147219193,0.045714285714285714
MOCKINGBIRD/DR. BARB,仿声鸟/芭芭拉·莫尔斯,女,正派,格斗,精通多种格斗术，擅长使用战斗棍，具备出色的间谍技能和战术分析能力。,否,0,神盾局,尼克·弗瑞,4,双重间谍,MOCKINGBIRD/DR. BARB,0.0812032418952618,0.0020711015293329,14,0.7954968256311826,0.31669865642994244
SUNSPOT/ROBERTO DACO,太阳黑子/罗伯托·达科斯塔,男,正派,变异,吸收太阳能转化为超强力量、飞行和热能释放，在阳光下能力增强，黑暗环境减弱。,否,0,X战警/新变种人,X教授,4,团队核心/自信,SUNSPOT/ROBERTO DACO,0.0808915211970074,0.0069077390521286,4,0.8366698655715996,0.24084778420038536
TIGRA/GREER NELSON,虎女/格里尔·纳尔逊,女,正派,变异,拥有猫科动物的超强感官、敏捷、力量、利爪和平衡能力，以及部分魔法抗性。,否,0,复仇者联盟,汉克·皮姆,3,团队核心,TIGRA/GREER NELSON,0.0802680798004987,0.0020733324275649,14,0.7816100638434513,0.3359223300970874
SPEEDBALL/ROBBIE BAL,速球/罗比·鲍德温,男,正派,变异,通过接触零物质获得能力，能产生动能场，吸收冲击并反弹，高速移动和跳跃。,否,0,新勇士,无,4,冲动易怒,SPEEDBALL/ROBBIE BAL,0.0782418952618453,0.0078401456335873,6,0.8079458612655168,0.2788844621513944
BANSHEE/SEAN CASSIDY,嚎叫/肖恩·卡西迪,男,正派,变异,拥有超音速声波能力，可发出破坏性声波攻击、进行声波飞行和回声定位。,否,0,X战警,X教授,3,团队核心,BANSHEE/SEAN CASSIDY,0.0780860349127182,0.0042821632059,4,0.8450778443113772,0.24550898203592814
"DUGAN, TIMOTHY ALOYI",蒂莫西·阿洛伊·杜根,男,正派,格斗,前美国陆军上校，神盾局高级特工，精通格斗、枪械和战术指挥，无超能力但经验丰富。,是,1,神盾局,尼克·弗瑞,3,忠诚可靠,"DUGAN, TIMOTHY ALOYI",0.0773067331670823,0.0069805864349633,0,0.8408765070055393,0.2661290322580645
"NELSON, FRANKLIN FOG",富兰克林·福格·纳尔逊,男,正派,格斗,作为夜魔侠的挚友兼法律合伙人，他是一名优秀的律师，没有超能力，但具备出色的法律素养、坚定的正义感和对朋友的忠诚。,是,0,尼尔森与默多克律师事务所,无,2,团队核心,"NELSON, FRANKLIN FOG",0.0773067331670823,0.0060087772416249,18,0.8479146301726947,0.2560483870967742
JUSTICE II/VANCE AST,正义二世/万斯·阿斯特,男,正派,变异,能够操纵动能，包括吸收、储存和释放动能，用于增强力量、速度或发射能量冲击波。,否,0,新勇士,夜鸫,4,团队核心,JUSTICE II/VANCE AST,0.0760598503740648,0.0043703175811435,6,0.836275961894503,0.27049180327868855
"PARKER, MAY",梅·帕克,女,正派,格斗,无超能力，但具备出色的格斗技巧和战斗经验，常作为蜘蛛侠彼得·帕克的精神支柱和家庭支持者。,是,3,无核心阵营,无,1,家庭核心,"PARKER, MAY",0.0759039900249376,0.0112234250087923,18,0.8802950794737242,0.16837782340862423
PUNISHER II/FRANK CA,惩罚者II/弗兰克·卡索,男,正派,格斗,无超能力，依靠顶尖军事训练、战术头脑、武器精通和坚韧意志进行战斗，擅长使用各种枪械和近身格斗。,否,0,独立行动/偶尔与神盾局合作,无固定导师,7,孤傲,PUNISHER II/FRANK CA,0.0752805486284289,0.0132886609862881,18,0.888774344303841,0.20082815734989648
DR. DRUID/ANTHONY LU,德鲁伊德博士/安东尼·卢,男,正派,魔法,精通古代德鲁伊魔法，能操控自然元素、进行预言占卜、施展精神控制和心灵感应。,否,0,复仇者联盟,梅林,4,神秘学者,DR. DRUID/ANTHONY LU,0.0748129675810473,0.0019482647259488,14,0.7689892136395268,0.3458333333333333
FORGE,锻造者,男,正派,科技,拥有与生俱来的发明创造天赋，能快速理解并制造任何科技设备，尤其擅长武器和机械装置。,否,0,X战警,X教授,4,孤傲,FORGE,0.0740336658354114,0.0020855421133942,4,0.7894648012436154,0.2968421052631579
IRON MAN IV/JAMES R.,钢铁侠四代/詹姆斯·R·罗兹,男,正派,科技,穿着高科技装甲，具备飞行、能量炮、超强防御和战术分析能力，装甲由斯塔克工业技术升级。,否,0,复仇者联盟,托尼·斯塔克,3,团队核心,IRON MAN IV/JAMES R.,0.0723192019950124,0.0062625603204696,0,0.8484583302301333,0.24568965517241378
CAPTAIN BRITAIN/BRIA,英国队长/布里亚,女,正派,魔法/神力,通过魔法护身符获得超人类力量、耐力、飞行能力，并能操控能量进行攻击和防御。,否,0,英国队长军团/复仇者联盟,梅林,4,团队核心/坚韧果敢,CAPTAIN BRITAIN/BRIA,0.0715399002493765,0.0042168622315815,4,0.774067414447584,0.3812636165577342
